Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,1508.000000,1509.650024,1488.000000,1503.650024,1482.172485,95470
2019-11-01,1502.900024,1511.000000,1492.550049,1505.800049,1484.291870,65540
2019-11-04,1510.000000,1515.000000,1498.000000,1500.849976,1479.412354,98881
2019-11-05,1502.000000,1510.000000,1489.650024,1501.050049,1479.609619,125081
2019-11-06,1502.900024,1510.750000,1445.000000,1452.800049,1432.048828,137922
2019-11-07,1460.000000,1476.900024,1453.000000,1463.849976,1442.940918,62297
2019-11-08,1466.000000,1474.050049,1447.000000,1454.650024,1433.872314,71132
2019-11-11,1455.099976,1469.000000,1441.050049,1447.750000,1427.070923,43105
2019-11-13,1450.050049,1460.000000,1425.000000,1429.349976,1408.933716,100460
2019-11-14,1438.949951,1449.849976,1395.000000,1413.099976,1392.915894,139271
2019-11-15,1414.500000,1432.000000,1414.000000,1421.800049,1401.491577,78624
2019-11-18,1423.000000,1435.900024,1398.000000,1430.300049,1409.870117,156090
2019-11-19,1437.500000,1437.500000,1414.500000,1419.050049,1398.780884,198532
2019-11-20,1427.000000,1448.000000,1411.099976,1437.000000,1416.474487,120332
2019-11-21,1447.500000,1450.000000,1421.500000,1441.000000,1420.417358,133262
2019-11-22,1450.000000,1489.800049,1446.050049,1468.449951,1447.475220,110942
2019-11-25,1484.000000,1486.750000,1472.000000,1478.699951,1457.578735,70952
2019-11-26,1479.000000,1484.000000,1448.000000,1454.250000,1433.478027,149623
2019-11-27,1454.000000,1481.000000,1449.000000,1465.750000,1444.813843,32805
2019-11-28,1465.000000,1477.000000,1456.849976,1470.849976,1449.840942,22331
2019-11-29,1463.900024,1499.000000,1459.000000,1490.750000,1469.456787,63728
2019-12-02,1510.000000,1518.000000,1468.000000,1471.949951,1450.925171,121429
2019-12-03,1482.949951,1482.949951,1450.000000,1463.449951,1442.546509,74732
2019-12-04,1464.949951,1486.300049,1450.000000,1482.500000,1461.324585,111270
2019-12-05,1491.949951,1510.000000,1469.750000,1488.199951,1466.943115,428948
2019-12-06,1497.800049,1519.000000,1468.949951,1510.599976,1489.023071,76118
2019-12-09,1514.000000,1527.949951,1482.050049,1500.599976,1479.166016,100621
2019-12-10,1500.599976,1506.300049,1465.099976,1480.849976,1459.698120,54237
2019-12-11,1470.150024,1503.000000,1470.150024,1495.050049,1473.695313,62441
2019-12-12,1500.199951,1510.000000,1466.000000,1502.500000,1481.038818,97851
2019-12-13,1502.000000,1526.000000,1497.000000,1520.449951,1498.732422,74209
2019-12-16,1527.949951,1529.900024,1503.500000,1516.849976,1495.183838,180842
2019-12-17,1516.849976,1523.900024,1486.349976,1499.099976,1477.687500,76729
2019-12-18,1513.949951,1513.949951,1490.050049,1498.150024,1476.750977,87798
2019-12-19,1498.150024,1516.550049,1489.050049,1492.949951,1471.625244,67536
2019-12-20,1493.000000,1498.949951,1464.099976,1468.650024,1447.672363,86979
2019-12-23,1476.000000,1499.800049,1464.849976,1469.199951,1448.214478,84497
2019-12-24,1469.199951,1505.000000,1468.800049,1478.250000,1457.135254,118178
2019-12-26,1500.000000,1500.000000,1477.050049,1485.500000,1464.281738,174683
2019-12-27,1490.000000,1493.250000,1470.099976,1478.949951,1457.825195,89120
2019-12-30,1479.949951,1488.949951,1470.000000,1479.650024,1458.515259,114655
2019-12-31,1476.000000,1489.000000,1460.500000,1468.449951,1447.475220,72244
2020-01-01,1475.000000,1500.750000,1470.000000,1493.800049,1472.463257,81809
2020-01-02,1483.000000,1525.000000,1483.000000,1513.199951,1491.585938,69666
2020-01-03,1519.949951,1524.949951,1502.849976,1510.599976,1489.023071,41244
2020-01-06,1509.900024,1521.000000,1477.050049,1509.550049,1487.988159,59718
2020-01-07,1510.349976,1524.000000,1493.750000,1516.349976,1494.691040,57942
2020-01-08,1503.500000,1554.800049,1498.099976,1537.750000,1515.785400,112220
2020-01-09,1545.000000,1555.949951,1536.699951,1551.400024,1529.240356,74313
2020-01-10,1554.900024,1578.000000,1545.599976,1560.900024,1538.604736,55261
2020-01-13,1569.900024,1575.000000,1552.400024,1562.349976,1540.033936,84927
2020-01-14,1562.349976,1595.000000,1554.949951,1589.849976,1567.141113,65177
2020-01-15,1588.800049,1625.000000,1582.000000,1601.449951,1578.575439,102724
2020-01-16,1606.000000,1666.000000,1606.000000,1655.650024,1632.001343,189001
2020-01-17,1662.000000,1673.900024,1623.300049,1642.650024,1619.187012,115600
2020-01-20,1642.000000,1644.000000,1605.099976,1627.800049,1604.549194,180467
2020-01-21,1624.000000,1630.000000,1606.849976,1626.099976,1602.873413,123496
